,sent_id,sent
0,0,"Das Eisbein mit dem Suppengrün, Lorbeer, Wacholder und einer mit Nelken gespickten Zwiebel in einem großen Topf mit leichtem Essigsud ca. 1-1,5 Stunden leicht köcheln lassen."
1,22,"Parallel dazu in einer Pfanne den Speck auslassen, etwas Zwiebel andünsten und das Sauerkraut anbraten."
2,35,Mit Lorbeer und Wacholder würzen und den kompletten Riesling angießen.
3,44,"Zugedeckt solange schmoren, bis der Wein vom Kraut aufgesogen wurde"
4,54,(dauert ca. 1 Stunde).Das
5,59,Eisbein
6,60,aus dem Essigsud nehmen und auf das Kraut setzen.
7,68,Dann im Backofen bei 200°C garen und dabei immer mit dem Schwarzbier übergießen.
8,83,"Wenn es knusprig ist, ist es fertig (ca. 45 Minuten).Dazu"
9,95,"Püree, zu 50% aus Kartoffeln und zu 50% aus Knollensellerie."
